,Population,Magnitude,Depth,Distance_from_the_epicenter,Secondary effects,Architechture,destructiveness,City
0,Populated ,70,427,3681,No,Good ,High,Buford
1,Unpopulated,31,515,5233,No,Bad,Low,Buford
2,Populated ,58,565,2099,No,Good,Low,Buford
3,Populated ,68,340,8626,No,Good,Low,Buford
4,Unpopulated,67,210,6387,No,Good,Low,Buford
5,Populated ,35,284,2126,No,Good,Low,Buford
6,Unpopulated,75,98,211,No,Bad,High,Buford
7,Populated ,64,237,9295,No,Good,Low,Buford
8,Unpopulated,37,218,9194,No,Bad,Low,Buford
9,Populated,70,650,6063,No,Good,High,Philadelphia
10,Unpopulated,58,198,615,Yes,Bad,Low,Buford
11,Populated,80,171,7722,No,Bad,High,Philadelphia
12,Populated ,36,324,6365,yes,Good ,Low,Buford
13,Unpopulated,80,387,2526,No,Bad,High,Buford
14,Populated ,62,662,7849,No,Good,Low,Buford
15,Populated ,39,589,5360,No,Good,Low,Buford
16,Unpopulated,53,567,8058,No,Good,Low,Buford
17,Populated ,32,574,37,No,Good,Low,Buford
18,Unpopulated,42,84,3774,No,Bad,Low,Buford
19,Populated ,31,698,5842,No,Good,Low,Buford
20,Unpopulated,57,689,8692,No,Bad,Low,Buford
21,Populated,49,608,4827,No,Good,Low,Philadelphia
22,Unpopulated,38,512,7858,No,Bad,Low,Buford
23,Populated,67,18,23,Yes,Bad,Low,Philadelphia
24,Populated ,30,499,5267,No,Good ,Low,Buford
25,Unpopulated,30,410,6614,yes,Bad,Low,Buford
26,Populated ,57,699,7789,No,Good,Low,Buford
27,Populated ,44,345,9475,No,Good,Low,Buford
28,Unpopulated,33,637,3895,No,Good,Low,Buford
29,Populated ,35,332,6512,No,Good,Low,Buford
30,Unpopulated,33,60,7218,No,Bad,Low,Buford
31,Populated ,50,107,9856,No,Good,Low,Buford
32,Unpopulated,73,359,1346,No,Bad,High,Buford
33,Populated,63,516,751,No,Good,Low,Philadelphia
34,Unpopulated,36,443,7647,No,Bad,Low,Buford
35,Populated,67,594,9833,No,Bad,Low,Philadelphia
36,Populated ,45,620,7898,Yes,Good ,Low,Buford
37,Unpopulated,33,10,5897,No,Bad,Low,Buford
38,Populated ,52,38,5437,yes,Good,Low,Buford
39,Populated ,43,310,1038,No,Good,Low,Buford
40,Unpopulated,42,526,3572,No,Good,Low,Buford
41,Populated ,79,195,3859,No,Good,High,Buford
42,Unpopulated,54,34,8049,No,Bad,Low,Buford
43,Populated ,69,90,8772,No,Good,High,Buford
44,Unpopulated,39,60,3385,No,Bad,Low,Buford
45,Populated,41,552,9992,No,Good,Low,Philadelphia
46,Unpopulated,58,567,1891,No,Bad,Low,Buford
47,Populated,80,87,508,No,Bad,High,Philadelphia
48,Populated ,69,580,280,No,Good ,High,Buford
49,Unpopulated,38,580,6810,Yes,Bad,Low,Buford
50,Populated ,51,223,559,No,Good,Low,Buford
51,Populated ,64,415,9551,yes,Good,Low,Buford
52,Unpopulated,30,148,7248,No,Good,Low,Buford
53,Populated ,36,429,5972,No,Good,Low,Buford
54,Unpopulated,56,64,9202,No,Bad,Low,Buford
55,Populated ,55,30,3894,No,Good,Low,Buford
56,Unpopulated,60,432,2793,No,Bad,Low,Buford
57,Populated,77,205,4113,No,Good,High,Philadelphia
58,Unpopulated,41,486,7861,No,Bad,Low,Buford
59,Populated,66,117,4364,No,Bad,Low,Philadelphia
60,Populated ,58,631,5966,No,Good ,Low,Buford
61,Unpopulated,60,607,5097,No,Bad,Low,Buford
62,Populated ,54,456,5161,Yes,Good,Low,Buford
